172-32-1176,GL1331,1,100
213-46-8915,MC0738,1,100
238-95-7766,DC1437,1,65
267-41-2394,BU9185,1,70
274-80-9391,PC3250,1,100
409-56-7008,BU1349,1,50
409-56-9004,BU9196,1,100
427-17-2319,PC3389,1,100
472-27-2349,BU9185,2,30
486-29-1786,MS4021,1,20
527-72-3246,MC2836,1,100
648-92-1872,MS4021,2,80
672-71-3249,PC3679,1,100
712-45-1867,PS2089,1,70
722-51-5454,PC3100,1,30
724-08-9931,BU1360,1,100
724-08-9931,PC1363,1,100
724-80-9391,PC3256,2,30
756-30-7391,PC3256,1,70
807-91-6654,DC1437,2,35
807-91-6654,PC3100,2,70
846-92-7186,PS2089,2,30
893-72-1158,BU1349,2,50
899-46-2035,MP9231,1,100
998-72-3567,PC3856,1,100
